id;beschreibung;bild;ects;module_abkürzung;module_name;module_typ;oberkategorie;prüfungsart;regelstudienzeitsieben;regelstudienzeitzwölf;verfügbarkeit;vertiefung;bildrechte
28;"Die Studierenden erlernen die Methoden und Verfahren zur Hervorhebung relevanter Bildinhalte und der Analyse/Interpretation von Bildinhalten auf Basis dieser Merkmale. Darauf aufbauend wird die Problemlösung mittels Entwurfswerkzeugen implementiert und validiert.

Der Dozent vermittelt Wissen und Basisfertigkeiten in einem Vorlesungs-/Übungsteil und betreut darauf aufbauend ein Praktikum. Im Praktikum erarbeiten die Studierenden in Kleingruppen Problemlösungen und verteidigen diese.

Die Studierenden werden in dem Modul befähigt, im industriellen Umfeld Problemstellungen im Bereich der Bildanalyse/Mustererkennung mittels Bildverarbeiten zu lösen und bestehende Lösungen zu bewerten.

Die Studierenden erlernen den grundlegenden Aufbau und den software-technischen Zugriff auf digitale Bilder sowie die Standard-Algorithmen der digitalen Bildverarbeitung zur Bildanalyse und Bildinterpretation. Sie erlangen die Fähigkeit zur Lösung anspruchsvoller berührungsloser Inspektions- und Klassifikationsaufgaben mittels Bildverarbeiten.";mustererkennung.jpg;5;BV2;Mustererkennung;Vertiefungsfach;Bildverarbeitung;mündliche Prüfung;5;\N;Wintersemester;Bildverarbeitung;\N
29;Web-basierte Systeme können grob in ein Backend und Frontend unterteilt werden. Dieses Modul fokussiert auf das Frontend und vermittelt Wissen zu Komponenten, Architekturmustern, Kommunikationsprotokollen und Standards sowie Kompetenzen zur Planung, Umsetzung und Evaluation von Web-basierten Frontend-Systemen mit einem besonderen Fokus auf vernetzte/verteilte Mediensysteme. In diesem Kontext werden Aufgaben und Mechanismen der Komponenten und Protokolle, Wissen zur Architektur und zum Aufbau von Web-basierten Systemen sowie ein tieferes Verständnis der zugrundeliegenden Konzepte und Techniken vermittelt;webengineering2.jpg;5;WEB2;Webengineering 2;Vertiefungsfach;Webengineering;schriftliche Klausur;5;\N;Wintersemester;Webengineering;Michael M. Schuff
30;"Die Lehrveranstaltung erfolgt nach dem Flipped Classroom Konzept. In der Vorlesung werden die theoretischen und algorithmischen Grundlagen und Kenntnisse aus dem Bereich der Computeranimation vermittelt.

Die Studierenden sollen in die Lage versetzt werden, Anwendungen und Software zur Computeranimation nicht nur als Black Box zu verwenden, sondern auch deren Arbeitsweise zu verstehen und sich selbstständig in weiterführende wissenschaftliche Themengebiete der Computeranimation einarbeiten zu können.

Im Praktikum werden schrittweise an Hand einer Game Engine und passenden Softwarebibliotheken die Kenntnisse in Form praktischer Übungsaufgaben vertieft und die Implementierung von Software zur Computeranimation geübt";computeranimation.jpg;5;CA;Computeranimation;Vertiefungsfach;Interaktive Computergrafik;mündliche Prüfung;5;\N;Wintersemester;Interaktive Computergrafik;Michael M. Schuff
31;"Das Vertiefungsmodul ""Medienkonzeption & Storytelling "" beschäftigt sich mit der Theorie und Anwendung der digitalen Medienkonzeption unter anderem von Darstellungsformen und Arten des Storytellings in verschiedenen Medien. Es richtet sich an Studierende die eine Tätigkeit und Herausforderung im Bereich der visuellen Medien und Darstellungsformen mit Schnittstellen zur User Experience Design Themen suchen.


Designtheorien, Methoden und und multimediale Produktionsabläufe werden in einem Seminar vermittelt.  Darauf basierend führen die Studierenden in Gruppenarbeit ein eigenes Projekt zu einem Hauptthema durch, von der Analyse über die Konzeption und Skizzenerstellung bis hin zur praktischen Umsetzung und Prototyperstellung unter Berücksichtung von User Experience Aspekten. Das Projekt wird abschließend mit theoretischer Ausarbeitung präsentiert.";medienkonzeption.jpg;5;GM2;Medienkonzeption & Storytelling;Vertiefungsfach;Gestaltung von Medien;Abgabe;5;\N;Wintersemester;Gestaltung von Medien;Michael M. Schuff
32;"Das Modul vermittelt die Grundlagen der elektronischen Bildverarbeitung innerhalb digitaler Kameras. Die Studierenden lernen die zu Grunde liegenden physikalischen Phänomene zu verstehen und die dazugehörigen elektronischen Korrekturverfahren anschaulich zu erklären. Die Leistungsfähigkeit heutiger Kamerasysteme wird in Kenngrößen beschrieben und sind somit vergleichbar.

Durch Vorlesung und Übung werden die theoretischen Kenntnisse vermittelt und in Zusammenhang mit den aktuellen Entwicklungen in der Digitalfotografie gebracht. Die Übung analysiert beispielhafte Anordnungen und Vorgänge, modelliert diese als physikalische Formeln oder Skizzen und berechnet bzw. konstruiert gegebene Fragestellungen.

Sowohl die formelmäßige Modellierung und Berechnung als auch die graphische Darstellung und Diskussion technischer Zusammenhänge sind Basiskompetenzen im Ingenieurberuf. Zur erfolgreichen Zusammenarbeit in Teams werden ihre Darstellung und Visualisierung gefordert. Die Grundlagen fotografischer Systeme und der dazugehörigen Bildverarbeitung und Korrekturverfahren sind ein wesentlicher Bestandteil medientechnischer Systeme.";kameratechnik.jpg;5;KAT2;Kameratechnik;Vertiefungsfach;Kameratechnik;schriftliche Klausur;5;\N;Wintersemester;Kameratechnik;Michael M. Schuff
33;"Die Studierenden lernen Systeme und Komponenten zur Medienübertragung und Speicherung kennen und werden befähigt, solche Systeme zu analysieren und zu planen.

Im Rahmen einer Vorlesung lernen die Studierenden die Eigenschaften verschiedener Übertragungwege und Technologien zur Mediendistribution und Speicherung kennen. Zudem ermöglicht die Veranstaltung einen praktisch Einblick in die Übertragungstechnik.

Systeme zur Medienverbreitung und -speicherung sind zentrale Elemente einer medialen Produktionskette.";medienuebertragung.jpg;5;MUS;Medienübertragung und -speicherung;Vertiefungsfach;Mediendistribution und -wiedergabe;schriftliche Klausur;5;\N;Wintersemester;Mediendistribution und -wiedergabe;Michael M. Schuff
34;"Studierende lernen die typischen Schritte einer Videoproduktion durchzuführen. Dazu setzen sie adäquates technisches Equipment ein und berücksichtigen aktuelle Standards. Studierende sind dadurch in der Lage, in unterschiedlichen Aufnahmesituationen die technischen Voraussetzungen für ein sendefähiges Video zu schaffen.

Dabei werden ebenfalls die grundlegenden Parameter einer Videokamera und deren Bedienung erlernt. In praktischen Laborversuchen werden die Auswirkung von technischen Parametern und Einstellungsmöglichkeiten auf das Bild getestet und der Umgang mit der Kamera geübt.

Studierende lernen außerdem die typische Infrastruktur eines Fernsehstudios kennen und können die Komponenten und ihre jeweiligen Aufgaben beschreiben. Sie analysieren das Zusammenspiel dieser und beurteilen die Leistungsfähigkeit des Gesamtsystems.

Im Vortrag werden einzelne Komponenten sowie deren Zusammenspiel vorgestellt. Übungen und Praktika dienen dazu, diese Kenntnisse zu festigen. Anhand einer Beispielproduktion im Team wird die praktische Anwendung geübt.";videostudiotechnik.jpg;5;VST;Videostudiotechnik;Vertiefungsfach;Produktionstechnik audiovisueller Medien;schriftliche Klausur;5;\N;Wintersemester;Produktionstechnik audiovisueller Medien;Michael M. Schuff
35;"In einem Projekt wenden die Studierenden die in den voraus gegangenen Modulen  erworbenen Kompetenzen exemplarisch an, um eine Aufgabe im Bereich der Bildverarbeitung und Mustererkennung zu lösen. Dabei üben sie den typischen Verlauf eines Entwickungsprojekt von der Spezifikation der Anforderungen bis zur Präsentation des Ergebnisses ein. Außerdem müssen sie selbst mit Hilfe des bereits erworbenen Wissens und eigener Recherche entscheiden, welche fachlichen Ansätze für die Lösung der Aufgabe zu wählen sind.

Die Studierenden bearbeiten in Gruppen von typischerweise 4-5 Studierenden eine vorgegebene oder selbst vorgeschlagene Aufgabenstellung. Alle Präsentationen und Dokumentationen erfolgen in englischer Sprache.

Die Studierenden werden in dem Modul befähigt, Abläufe, wie sie typischerweise in einem industriellen Endwicklungsprojekt ablaufen, durchzuführen. Dabei müssen sie auch das erreichte Arbeitsergebnis in Hinblick auf die gestellten Anforderungen bewerten. In diesem Zusammenhang lernen sie auch, komplexe Aufgaben im Team zu bearbeiten.";projekt_mustererkennung.jpg;6;BV3;Projekt Bildverarbeitung / Mustererkennung;Vertiefungsfach;Bildverarbeitung;Abgabe;6;\N;Sommersemester;Bildverarbeitung;Michael M. Schuff
36;"Die in den Vorlesungen ""Webengineering 1 (Backend)"" und ""Webengineering 2 (Frontend)"" vermittelten Grundkenntnisse und -fertigkeiten werden in diesem Modul aufgegriffen und praktisch angewandt. Innerhalb eines Projekts lösen Studierende im Team gemeinsam ein Web-Projekt mit definierter Aufgabenstellung. Bei den Aufgabenstellung wird es sich bevorzugter Weise um Projekte von Kooperationsunternehmen handeln. Die Studierenden-Teams sollen somit Ihr Projekt in möglichst realitätsnahen Rahmenbedingungen erfahren.";projekt_webengineering.jpg;6;WEB3;Projekt Webengineering;Vertiefungsfach;Webengineering;Abgabe;6;\N;Sommersemester;Webengineering;Michael M. Schuff
37;"Die in den Vorlesungen Computergrafik und Computeranimation vermittelten Grundkenntnisse und -fertigkeiten werden in diesem Modul aufgegriffen und praktisch angewandt. Innerhalb eines Projekts entwickeln mehrere Studenten gemeinsam ein interaktives System, dass eine definierte Aufgabenstellung aus dem Bereich der interaktiven Computergrafik löst. Die Aufgabenstellungen variieren inhaltlich und können z.B. aus den Bereichen Rendering, Animation, Virtual Reality, Augmented Reality, Visualisierung oder Modellierung kommen. Wesentlicher Bestandteil jeder Aufgabenstellung wird die interaktive Nutzung des Systems darstellen.

Die einzelnen Schritte der Projektentwicklung (z.B. Projektidee, Projektplan usw.) werden im Plenum und mit den Dozenten diskutiert. Die Studierenden beteiligen sich ebenfalls an der Diskussion zu Projekten anderer Gruppen. Während des Semester erfolgt die Betreuung durch Dozenten, und in einer Meilensteinpräsentation werden gemeinsam mit den anderen Teams Zwischenergebnisse präsentiert sowie diskutiert. Zum Ende des Semesters sind die Ergebnisse des Projekts sowie eine Projektdokumentation im Stile einer wissenschaftlichen Arbeit abzugeben. Bei der abschließenden Projektpräsentation werden die Projektergebnisse dargestellt und diskutiert.";projekt_interaktive_systeme.jpg;6;IA;Projekt Interaktive Systeme;Vertiefungsfach;Interaktive Computergrafik;Abgabe;6;\N;Sommersemester;Interaktive Computergrafik;Michael M. Schuff
38;"Die Studierenden erlernen medienrelevante Projektplanungsmethoden mit Zeitmanagement, Ressourcenplanung und Dokumentation über Einschätzung der Rolle des Mediendesigns innerhalb des gesamten Projektprozesses. Sie lernen Designtheorien, Methoden, und multimediale Produktionsabläufe unter Berücksichtigung ökonomischer Aspekte in den unterschiedlichen Projektphasen - von der Projektplanung mit Zeitmanagement, Ressourcenplanung und Prototypentwicklung bis hin zur Dokumentation Sie wenden medienspezifische Designprinzipien und User Experience Themen auf ein eigenes Projekt an.

In Gruppenarbeit wird ein eigenes Projekt zu einem gewählten Mediendesign-Thema durchgeführt - von der Analyse über die Konzeption bis hin zur praktischen Umsetzung und Prototyperstellung und Präsentation mit theoretischer Ausarbeitung. Dies wird mit regelmäßigen Coaching und Projektbesprechungen, Überprüfungen einzelner Aufgabenbereiche und Projektschritte bis hin zur Präsentation umgesetzt.";projekt_mediendesign.jpg;6;GM3;Projekt Mediendesign;Vertiefungsfach;Gestaltung von Medien;Abgabe;6;\N;Sommersemester;Gestaltung von Medien;Michael M. Schuff
39;"Die in den Vorlesungen Bildsensortechnik und Kameratechnik vermittelten Grundkenntnisse und -fertigkeiten werden in diesem Modul aufgegriffen und praktisch angewandt. Innerhalb eines Projekts werden mehrere Studierende gemeinsam eine wählbare umfassende Anwendung aus den Bereichen der Kameratechnik inkl. Bildverarbeitung bearbeiten. Die Aufgabenstellung wird inhaltlich variieren und greift auch aktuelle Fragestellungen auf.

Die Studierenden nehmen an einer Einführungsveranstaltung teil, die wesentliche Aspekte der Projektplanung und -steuerung vermittelt. Während des Projektes werden die Studierenden durch den Dozenten begleitet.";projekt_kameratechnik.jpg;6;AKAT;Projekt Anwendungen der Kameratechnik;Vertiefungsfach;Kameratechnik;Abgabe;6;\N;Sommersemester;Kameratechnik;Michael M. Schuff
40;\N;projekt_produktionstechnik.jpg;6;PMPT;Projekt Produktionstechnik audiovisueller Medien;Vertiefungsfach;Produktionstechnik audiovisueller Medien;Abgabe;6;\N;Sommersemester;Produktionstechnik audiovisueller Medien;Michael M. Schuff
41;"Die in den Vorlesungen Displaytechnik und Medienübertragung und -speicherung vermittelten Grundkenntnisse und -fertigkeiten werden in diesem Modul aufgegriffen und praktisch angewandt. Innerhalb eines Projekts werden mehrere Studenten gemeinsam eine definierte Aufgabenstellung aus den Bereichen der Displaytechnik, Displayansteuerung oder der Übertragungstechnik bearbeiten. Die Aufgabenstellung wird inhaltlich variieren und greift auch aktuelle Fragestellungen auf.

Die Studierenden nehmen an einer Einführungsveranstaltung teil, die wesentliche Aspekte der Projektplanung und -steuerung vermittelt. Während des Projektes werden die Studierenden durch den Dozenten begleitet.";projekt_mediendistribution.jpg;6;PMW;Projekt Mediendistribution und-wiedergabe;Vertiefungsfach;Mediendistribution und -wiedergabe;Abgabe;6;\N;Sommersemester;Mediendistribution und -wiedergabe;Michael M. Schuff
42;Der Studierende wird von Betreuern der Hochschule und des eigenständig gewählten Betriebes durch das Praktikum geleitet. Dort wird eine wissenschatlich-technische Problemstellung durch den Studierenden bearbeitet und nicht eine Aufgabe die durch schematische Anwendungen vorformulierter Muster herbeigeführt werden kann. Während des Praktikums wird ein Berichtsheft geführt. Der Abschlussbericht wird mit dem betreuenden Hochschuldozenten disktuiert.;platzhalter1.png;15;PMP;Praxis- und Mobilitätsphase;Pflichtfach;Bachelor;Abgabe schriftlicher Bericht;7;11;Wintersemester;\N;\N
43;"Die Bachelorarbeit erfolgt nach individueller Vereinbarung mit einem Dozenten der F07 über eine qualifizierte Ingenieurtätigkeit mit einer studiengangsbezogenen Aufgabenstellung. Die Bachelorarbeit kann auch extern in einem Wirtschaftsunternehmen o.ä. durchgeführt werden.

Nach Vorgabe des Themas aus dem Bereich der Medientechologien erstellen Sie einen Arbeitsplan und führen die notwendigen Literaturrecherchen durch. Durch sebsltständige Einarbeitung in die notwendigen Methoden zur Problemlösung soll die eigentliche Aufgabestellung gelöst werden. Das Ergebnis der Arbeit wird schriftlich in der Bachelorarbeit dargestellt.";platzhalter2.png;12;BAA;Bachelorarbeit;Pflichtfach;Bachelor;Abgabe Bachelorarbeit;7;12;Wintersemester;\N;\N
44;In einer Präsentation werden vor Fachpublikum die Problemstellung der Bachelorarbeit dargestellt und der Lösungsweg sowie die Ergebnisse präsentiert. In einer anschließenden Diskussion  werden die gewonnen Erkenntnisse und die Lösungswege diskutiert und auf fachliche und außerfachliche Aspekte der Arbeit eingegangen.;platzhalter3.png;3;KOLL;Kolloquium zur Bachelorarbeit;Pflichtfach;Bachelor;mündlicher Ergebnisbericht;7;12;Wintersemester;\N;\N
45;"Bedeutung der Postproduction

Definition des Begriffes
Einordnung in die Productionspipeline
Rückblick
Postproductionworkflow
Preproduction

Briefing
Projektmanagement mit Fokus auf die Postproduction
Look Development
Previsulisationsmethoden
Kameraführung
Prove of Concept
Setsupervision

Vorbereitungen für den Dreh in Bezug auf VFX
Herausforderungen am Set
Nachbereitung
Editing

Rückblick
Schnitt- und Gestaltungstechniken
Betrachtung von Schnittsystemen
Einführung in Compositing und Motiongraphics

Definition der Bereiche
Techniken
Betrachtung diverser Programme
3D in der Postproduction";platzhalter1.png;5;POP;Postproduktion;Wahlfach;Wahlfach Sommersemester;Abgabe;\N;\N;Sommersemester;\N;\N
46;Der Student lernt anhand der Produktion eines Kurzfilmes inklusive der klassichen Postproduction wie Editing, Compositing und Colorgrading, die Herausforderungen einer Produktion und der Nachbearbeitung von Bewegtbild kennen. Es handelt sich um ein Fach im Blockunterricht mit viel Projekt- und Teamarbeit.;platzhalter2.png;5;FPO;Film-und Postproduktion;Wahlfach;Wahlfach Wintersemester;Abgabe;\N;\N;Wintersemester;\N;\N
47;"Im Kurs Stereoskopie werden die grundlegenden Voraussetzungen einer S3D Produktion, welche für Realaufnahmen und Animationen gelten, behandelt. In den 5 inhaltlichen Terminen werden folgende Themen zunächst theoretisch erklärt und im Anschluss in der Praxis ausgetestet:
 

Visuelle Wahrnehmung

Wie sehen wir als Menschen dreidimensional?
Mathematische Grundlagen

Wie berechnet man die Stereobasis und was bedeutet das für die Produktion?
Stereoskopische Aufnahme

Welche Kamerasysteme gibt es und was ist bei der Aufnahme zu beachten?
Formate, Postproduktion, Workflows

Wie werden stereoskopische Daten weiterverarbeitet?
Wiedergabeverfahren

Wie funktionieren S3D-Kinoverfahren und welche weiteren Systeme gibt es?
Als Abschluss des Kurses wird eine Hausarbeit angefertigt. Diese soll ein spezielles Thema der Stereoskopie (wie z.B. S3D in der Medizin; Vergleich verschiedener  Aufnahmesysteme, Historie der Stereoskopie …) behandeln und muss einen technischen Teil beinhalten. Darüber hinaus ist die Themenwahl und die inhaltliche Umsetzung der Hausarbeit frei. Als Abschluss des Kurses wird eine Exkursion zu einem Industrieunternehmen mit stereoskopischer Anwendung gemacht.";platzhalter3.png;5;S3D;Stereoskopie;Wahlfach;Wahlfach Sommersemester;Hausarbeit;\N;\N;Sommersemester;\N;\N
48;"Einführung

User Interface
Navigation
Verwaltung komplexer 3D Szenen
Modellierung von 3D Objekten

Modellieren mit Non-Uniform Rational B-Splines (NURBS)
Boolesche Operationen
Polygonales Modellieren
Subdivisionsflächen
Rendering

physikalisch basierte Materialien
Ausleuchten von 3D Szenen (Lichtquellen)
Kameramodelle
Path Tracing
Post Processing
Texturen

Erstellen von Texturen
Editieren von Texturkoordinaten
Prozedurale Texturen
Ausarbeitung und Kommunikation einer kreativen Arbeit im Bereich CGI. Die erstellten Arbeiten werden vorgestellt und kritisch diskutiert.

Als Software werden Maya und Octane Renderer eingesetzt.


Qualifikationsziele

Die Studierenden erlernen den Umgang mit einer professionellen Software zur Erstellung von Computer Generated Imagery (CGI). Dabei werden Zusammenhänge zu den Lehrveranstaltungen Computergrafik, Computeranimation und Mediengestaltung gezogen und die dort erlernten Techniken praktisch angewendet.";platzhalter1.png;5;CGI;CGI-Workshop;Wahlfach;Wahlfach Wintersemester;Abgaben;\N;\N;Wintersemester;\N;\N
49;"Inhalte:

Selbstständiges Bearbeiten einer Aufgabenstellung aus dem Gebiet der Computergrafik
Entwicklung eines Softwareprototypen für Demonstrationszwecke
Präsentation der Ergebnisse vor der Seminargruppe (Vortrag und Softwareprototyp)
Erstellen einer wissenschaftlichen Ausarbeitung

Qualifikationsziele:
Ziel des Seminars ist die selbstständige und methodische Bearbeitung einer Aufgabenstellung aus dem Bereich der Computergrafik. Die Ausgestaltung der Veranstaltung und insbesondere der geforderte Leistungsnachweis bereiten auf die Abschlussarbeit vor.";platzhalter2.png;5;TCG;Themen der Computergrafik;Wahlfach;Wahlfach Wintersemester;tba;\N;\N;Wintersemester;\N;\N
